Key,Catalan,Spanish,English
Instruction,Seleccioni el seu Idioma,Seleccione su Idioma,Select your Language
LanguageNamesCatalan,Català,Catalán,Catalan
LanguageNamesSpanish,Castellà,Castellano,Spanish
LanguageNamesEnglish,Anglès,Inglés,English
PlayButton,Jugar,Jugar,Play
MadeBy,Fet per,Hecho por,Made by
InCollaboration,Amb la col·laboració de,Con la colaboración de,With the collaboration of
AProjectOf,Un projecte de,Un proyecto de,A project of
SpecialThanks,Agraïments,Agradecimientos,Special thanks to
